window_timestep,age__sim_battery_age_factor_1,age__sim_battery_age_factor_5,age__sim_battery_age_factor_20,num__sim_speed,num__sim_front_rpm,num__sim_rear_rpm,num__sim_range,num__sim_battery_degradation,num__sim_battery_soh,num__sim_battery_temp,num__sim_battery_temp_std,num__sim_battery_soc,num__sim_battery_curr,num__sim_battery_cooling_temp,num__carla_env_temp,ang__carla_roll_sin,ang__carla_roll_cos,ang__carla_pitch_sin,ang__carla_pitch_cos,ang__carla_yaw_sin,ang__carla_yaw_cos,cat__carla_traffic_light_0,cat__carla_traffic_light_1
0,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8861,0.7776,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
1,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8861,0.7776,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
2,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8861,-1.2860,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
3,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8861,-1.2860,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
4,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8861,0.7776,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
5,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8861,-1.2860,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
6,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8860,0.7776,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
7,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8860,0.7776,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
8,1.0000,0.0000,0.0000,-0.8567,-0.8566,-0.8030,22.1987,-3.5055,3.5055,-3.8860,0.7776,2.4090,0.3274,-3.1478,2.9450,0.0000,0.0000,-0.7716,1.0000,1.0000,-0.6361,1.0000,0.0000
9,1.0000,0.0000,0.0000,-0.8266,-0.8264,-0.7723,22.1987,-3.5055,3.5055,-3.8860,-1.2860,2.4089,0.1990,-3.1478,2.9450,-0.0001,0.0087,-0.7714,1.0000,1.0000,-0.6364,1.0000,0.0000
10,1.0000,0.0000,0.0000,-0.8234,-0.8234,-0.7692,22.1987,-3.5055,3.5055,-3.8860,0.7776,2.4089,0.3179,-3.1478,2.9450,-0.0001,0.0435,-0.7715,1.0000,0.9991,-0.6362,1.0000,0.0000
11,1.0000,0.0000,0.0000,-0.8204,-0.8204,-0.7661,22.1987,-3.5055,3.5055,-3.8860,-1.2860,2.4089,0.3154,-3.1478,2.9450,-0.0001,0.0729,-0.7715,1.0000,0.9973,-0.6363,1.0000,0.0000
12,1.0000,0.0000,0.0000,-0.8051,-0.8049,-0.7504,22.1987,-3.5055,3.5055,-3.8860,-1.2860,2.4088,0.2598,-3.1478,2.9450,-0.0001,0.0902,-0.7714,1.0000,0.9959,-0.6363,1.0000,0.0000
13,1.0000,0.0000,0.0000,-0.7681,-0.7673,-0.7124,22.1987,-3.5054,3.5054,-3.8860,0.7776,2.4086,0.0698,-3.1478,2.9450,-0.0001,0.0974,-0.7715,1.0000,0.9952,-0.6363,1.0000,0.0000
14,1.0000,0.0000,0.0000,-0.7242,-0.7229,-0.6671,22.1987,-3.5054,3.5054,-3.8859,0.7776,2.4083,-0.0415,-3.1478,2.9450,-0.0001,0.0993,-0.7714,1.0000,0.9951,-0.6363,1.0000,0.0000
15,1.0000,0.0000,0.0000,-0.6797,-0.6780,-0.6213,22.1987,-3.5053,3.5053,-3.8858,-1.2860,2.4080,-0.1379,-3.1478,2.9450,-0.0001,0.0983,-0.7714,1.0000,0.9952,-0.6363,1.0000,0.0000
16,1.0000,0.0000,0.0000,-0.6352,-0.6331,-0.5757,22.1987,-3.5052,3.5052,-3.8857,-1.2860,2.4075,-0.2263,-3.1478,2.9450,-0.0001,0.0955,-0.7714,1.0000,0.9954,-0.6363,1.0000,0.0000
17,1.0000,0.0000,0.0000,-0.5907,-0.5882,-0.5300,22.1987,-3.5050,3.5050,-3.8855,0.7776,2.4070,-0.3150,-3.1478,2.9450,-0.0001,0.0917,-0.7714,1.0000,0.9958,-0.6363,1.0000,0.0000
18,1.0000,0.0000,0.0000,-0.5462,-0.5433,-0.4843,22.1987,-3.5048,3.5048,-3.8852,0.7776,2.4064,-0.4041,-3.1478,2.9450,-0.0001,0.0878,-0.7714,1.0000,0.9961,-0.6363,1.0000,0.0000
19,1.0000,0.0000,0.0000,-0.5017,-0.4984,-0.4387,22.1987,-3.5045,3.5045,-3.8849,-1.2860,2.4058,-0.4935,-3.1478,2.9450,-0.0001,0.0841,-0.7714,1.0000,0.9965,-0.6363,1.0000,0.0000
20,1.0000,0.0000,0.0000,-0.4572,-0.4535,-0.3930,18.8404,-3.5041,3.5041,-3.8845,0.7776,2.4050,-0.5834,-3.1478,2.9450,-0.0001,0.0809,-0.7714,1.0000,0.9967,-0.6363,1.0000,0.0000
21,1.0000,0.0000,0.0000,-0.4127,-0.4086,-0.3473,14.8650,-3.5037,3.5037,-3.8839,-1.2860,2.4042,-0.6736,-3.1478,2.9450,-0.0001,0.0780,-0.7714,1.0000,0.9970,-0.6363,1.0000,0.0000
22,1.0000,0.0000,0.0000,-0.3682,-0.3637,-0.3017,11.8172,-3.5032,3.5032,-3.8833,0.7776,2.4033,-0.7642,-3.1478,2.9450,-0.0001,0.0750,-0.7714,1.0000,0.9972,-0.6364,1.0000,0.0000
23,1.0000,0.0000,0.0000,-0.3237,-0.3188,-0.2560,9.4297,-3.5026,3.5026,-3.8826,-1.2860,2.4024,-0.8551,-3.1478,2.9450,-0.0001,0.0636,-0.7714,1.0000,0.9980,-0.6364,1.0000,0.0000
24,1.0000,0.0000,0.0000,-0.2792,-0.2739,-0.2103,7.5250,-3.5019,3.5019,-3.8818,0.7776,2.4013,-0.9465,-3.1478,2.9450,-0.0001,0.0536,-0.7714,1.0000,0.9986,-0.6364,1.0000,0.0000
25,1.0000,0.0000,0.0000,-0.2347,-0.2290,-0.1647,5.9812,-3.5011,3.5011,-3.8808,-1.2860,2.4002,-1.0382,-3.1478,2.9450,-0.0001,0.0486,-0.7714,1.0000,0.9988,-0.6364,1.0000,0.0000
26,1.0000,0.0000,0.0000,-0.1902,-0.1841,-0.1191,4.7107,-3.5002,3.5002,-3.8797,0.7776,2.3990,-1.1303,-3.1478,2.9450,-0.0001,0.0472,-0.7714,1.0000,0.9989,-0.6364,1.0000,0.0000
27,1.0000,0.0000,0.0000,-0.1458,-0.1393,-0.0734,3.6516,-3.4991,3.4991,-3.8784,0.7776,2.3977,-1.2229,-3.1478,2.9450,-0.0001,0.0486,-0.7714,1.0000,0.9988,-0.6364,1.0000,0.0000
28,1.0000,0.0000,0.0000,-0.1013,-0.0944,-0.0278,2.7630,-3.4979,3.4979,-3.8770,-1.2860,2.3963,-1.3158,-3.1478,2.9450,-0.0001,0.0509,-0.7715,1.0000,0.9987,-0.6363,1.0000,0.0000
29,1.0000,0.0000,0.0000,-0.0568,-0.0495,0.0179,2.0116,-3.4966,3.4966,-3.8754,-1.2860,2.3949,-1.4092,-3.1478,2.9450,-0.0001,0.0541,-0.7711,1.0000,0.9985,-0.6367,1.0000,0.0000
30,1.0000,0.0000,0.0000,-0.0124,-0.0047,0.0635,1.3695,-3.4952,3.4952,-3.8736,0.7776,2.3934,-1.5029,-3.1478,2.9450,-0.0001,0.0569,-0.7704,1.0000,0.9984,-0.6375,1.0000,0.0000
31,1.0000,0.0000,0.0000,0.0321,0.0402,0.1091,0.8154,-3.4936,3.4936,-3.8717,0.7776,2.3918,-1.5971,-3.1478,2.9450,-0.0001,0.0599,-0.7726,1.0000,0.9982,-0.6349,1.0000,0.0000
32,1.0000,0.0000,0.0000,0.0765,0.0850,0.1547,0.3330,-3.4918,3.4918,-3.8695,-1.2860,2.3901,-1.6917,-3.1478,2.9450,-0.0001,0.0623,-0.7745,1.0000,0.9981,-0.6326,1.0000,0.0000
33,1.0000,0.0000,0.0000,0.1210,0.1299,0.2003,-0.0882,-3.4898,3.4898,-3.8671,-1.2860,2.3883,-1.7867,-3.1479,2.9450,-0.0000,0.0650,-0.7696,1.0000,0.9979,-0.6386,1.0000,0.0000
34,1.0000,0.0000,0.0000,0.1654,0.1747,0.2459,-0.4571,-3.4876,3.4876,-3.8645,-1.2860,2.3864,-1.8823,-3.1479,2.9450,-0.0003,0.0665,-0.7701,1.0000,0.9978,-0.6379,1.0000,0.0000
35,1.0000,0.0000,0.0000,0.2098,0.2195,0.2915,-0.7830,-3.4853,3.4853,-3.8617,-1.2860,2.3845,-1.9782,-3.1479,2.9450,-0.0002,0.0676,-0.7741,1.0000,0.9977,-0.6331,1.0000,0.0000
36,1.0000,0.0000,0.0000,0.2542,0.2643,0.3371,-1.0724,-3.4828,3.4828,-3.8586,0.7776,2.3825,-2.0747,-3.1479,2.9450,-0.0001,0.0680,-0.7742,1.0000,0.9977,-0.6330,1.0000,0.0000
37,1.0000,0.0000,0.0000,0.2986,0.3091,0.3826,-1.3305,-3.4800,3.4800,-3.8553,-1.2860,2.3804,-2.1725,-3.1479,2.9450,-0.0001,0.0684,-0.7729,1.0000,0.9977,-0.6345,1.0000,0.0000
38,1.0000,0.0000,0.0000,0.3430,0.3540,0.4282,-1.5619,-3.4771,3.4771,-3.8517,0.7776,2.3782,-2.2709,-3.1479,2.9450,0.0002,0.0684,-0.7716,1.0000,0.9977,-0.6361,1.0000,0.0000
39,1.0000,0.0000,0.0000,0.3874,0.3987,0.4738,-1.7699,-3.4739,3.4739,-3.8478,0.7776,2.3760,-2.3697,-3.1479,2.9450,0.0001,0.0687,-0.7709,1.0000,0.9976,-0.6370,1.0000,0.0000
40,1.0000,0.0000,0.0000,0.4318,0.4435,0.5193,-1.9577,-3.4704,3.4704,-3.8436,-1.2860,2.3736,-2.4690,-3.1479,2.9450,-0.0000,0.0687,-0.7707,1.0000,0.9976,-0.6373,1.0000,0.0000
41,1.0000,0.0000,0.0000,0.4762,0.4883,0.5648,-2.1277,-3.4667,3.4667,-3.8391,0.7776,2.3712,-2.5688,-3.1479,2.9450,-0.0000,0.0690,-0.7706,1.0000,0.9976,-0.6374,1.0000,0.0000
42,1.0000,0.0000,0.0000,0.5206,0.5331,0.6104,-2.2822,-3.4627,3.4627,-3.8343,-1.2860,2.3687,-2.6690,-3.1479,2.9450,-0.0004,0.0691,-0.7727,1.0000,0.9976,-0.6348,1.0000,0.0000
43,1.0000,0.0000,0.0000,0.5649,0.5778,0.6559,-2.4229,-3.4585,3.4585,-3.8292,0.7776,2.3661,-2.7698,-3.1479,2.9450,-0.0002,0.0696,-0.7741,1.0000,0.9976,-0.6331,1.0000,0.0000
